Sheep Year,Herd,Sex,%Marks,%VHF,%GPS,Marks,GPS,VHF
2017,Mt. Gibbs,Female,0.44,0.28,0.12,11,3,7
2017,Mt. Gibbs,Male,0.6,0.4,0.2,3,1,2
2017,Mt. Baxter,Female,0.36,0.25,0.14,20,8,14
2017,Mt. Baxter,Male,0.16,0.02,0.05,7,2,1
2017,Sawmill Canyon,Female,0.31,0.13,0.11,14,5,6
2017,Sawmill Canyon,Male,0.69,0.25,0,11,0,4
2017,Wheeler Ridge,Female,0.31,0.18,0.02,14,1,8
2017,Wheeler Ridge,Male,0.44,0.22,0.06,8,1,4
2017,Mt. Williamson,Female,0.29,0.12,0.06,5,1,2
2017,Mt. Williamson,Male,0.25,0.12,0.12,2,1,1
2017,Mt. Langley,Female,0.37,0.3,0.26,10,7,8
2017,Mt. Langley,Male,0.17,0.11,0.06,6,2,4
2017,Convict Creek,Female,0.5,0.17,0,3,0,1
2017,Convict Creek,Male,0.67,0.33,0,2,0,1
2017,Bubbs Creek,Female,0.14,0.14,0.07,2,1,2
2017,Bubbs Creek,Male,0.2,0,0,1,0,0
2017,Olancha Peak,Female,0.59,0.55,0.27,13,6,12
2017,Olancha Peak,Male,0.4,0.4,0.2,4,2,4
2017,Big Arroyo,Female,0.89,0.89,0.67,8,6,8
2017,Big Arroyo,Male,,,,3,3,3
2017,Laurel Creek,Female,0.5,0.5,0.5,1,1,1
2017,Laurel Creek,Male,2,2,1,2,1,2
2017,Cathedral,Female,0.67,0.5,0.17,4,1,3
2017,Cathedral,Male,,,,2,2,2
2017,Taboose Creek,Female,1,1,1,1,1,1
2017,Taboose Creek,Male,0,0,0,0,0,0
2017,Mt. Warren,Female,0.17,0,0,1,0,0
2017,Mt. Warren,Male,0,0,0,0,0,0
2016,Mt. Gibbs,Female,0.44,0.33,0.04,12,1,9
2016,Mt. Gibbs,Male,0.11,0.11,0,2,0,2
2016,Mt. Baxter,Female,0.5,0.31,0.21,24,10,15
2016,Mt. Baxter,Male,0.25,0.1,0.05,10,2,4
2016,Wheeler Ridge,Female,0.42,0.25,0.1,22,5,13
2016,Wheeler Ridge,Male,0.29,0.18,0.08,11,3,7
2016,Sawmill Canyon,Female,0.5,0.4,0.21,21,9,17
2016,Sawmill Canyon,Male,0.77,0.5,0.09,17,2,11
2016,Mt. Williamson,Female,0.45,0.45,0.09,5,1,5
2016,Mt. Williamson,Male,0.33,0.33,0,1,0,1
2016,Mt. Langley,Female,0.25,0.2,0.14,13,7,10
2016,Mt. Langley,Male,0.43,0.22,0.17,10,4,5
2016,Convict Creek,Female,0.44,0.22,0.17,8,3,4
2016,Convict Creek,Male,0.21,0.14,0,3,0,2
2016,Bubbs Creek,Female,0.29,0.21,0,4,0,3
2016,Bubbs Creek,Male,0.6,0.6,0,3,0,3
2016,Big Arroyo,Female,0.8,0.7,0.1,8,1,7
2016,Big Arroyo,Male,0.43,0.43,0,3,0,3
2016,Laurel Creek,Female,0.75,0.75,0.5,6,4,6
2016,Laurel Creek,Male,1.5,1.5,1.25,6,5,6
2016,Olancha Peak,Female,0.56,0.56,0,10,0,10
2016,Olancha Peak,Male,0.22,0.22,0,2,0,2
2016,Cathedral,Female,1,0.9,0.8,10,8,9
2016,Cathedral,Male,,,,5,5,5
2016,Mt. Warren,Female,0.1,0,0,1,0,0
2016,Mt. Warren,Male,0.1,0.1,0,1,0,1
2016,Taboose Creek,Female,,,,1,1,1
2016,Taboose Creek,Male,,,,2,1,2
2015,Mt. Gibbs,Female,0.59,0.45,0.18,13,4,10
2015,Mt. Gibbs,Male,0.29,0.29,0.07,4,1,4
2015,Mt. Baxter,Female,0.48,0.35,0.2,19,8,14
2015,Mt. Baxter,Male,0.39,0.24,0.15,13,5,8
2015,Wheeler Ridge,Female,0.41,0.28,0.16,24,9,16
2015,Wheeler Ridge,Male,0.62,0.29,0.21,21,7,10
2015,Mt. Williamson,Female,0.46,0.31,0.08,6,1,4
2015,Mt. Williamson,Male,0.2,0.1,0.1,2,1,1
2015,Sawmill Canyon,Female,0.35,0.3,0.09,16,4,14
2015,Sawmill Canyon,Male,0.95,0.6,0.35,19,7,12
2015,Mt. Warren,Female,0.25,0.17,0.08,3,1,2
2015,Mt. Warren,Male,0.33,0.33,0.11,3,1,3
2015,Bubbs Creek,Female,0.5,0.36,0.14,7,2,5
2015,Bubbs Creek,Male,0.6,0.6,0,3,0,3
2015,Mt. Langley,Female,0.51,0.41,0.3,19,11,15
2015,Mt. Langley,Male,0.25,0.14,0.11,9,4,5
2015,Convict Creek,Female,0.86,0.57,0.79,12,11,8
2015,Convict Creek,Male,0.25,0.17,0.17,3,2,2
2015,Big Arroyo,Female,0.8,0.7,0.5,8,5,7
2015,Big Arroyo,Male,0.6,0.6,0,3,0,3
2015,Olancha Peak,Female,0.75,0.75,0.06,12,1,12
2015,Olancha Peak,Male,0.5,0.5,0.25,4,2,4
2015,Laurel Creek,Female,,,,6,6,6
2015,Laurel Creek,Male,,,,3,1,3
2015,Cathedral,Female,1,1,0.9,10,9,10
2015,Cathedral,Male,0.5,0.5,0.5,1,1,1
2015,Taboose Creek,Female,,,,2,2,2
2015,Taboose Creek,Male,,,,3,2,3
2014,Mt. Gibbs,Female,0.93,0.79,0.5,13,7,11
2014,Mt. Gibbs,Male,0.8,0.8,0.4,4,2,4
2014,Mt. Baxter,Female,0.45,0.36,0.23,21,11,17
2014,Mt. Baxter,Male,0.26,0.18,0.12,9,4,6
2014,Wheeler Ridge,Female,0.37,0.26,0.07,16,3,11
2014,Wheeler Ridge,Male,0.59,0.41,0.14,17,4,12
2014,Mt. Williamson,Female,0.46,0.31,0.15,6,2,4
2014,Mt. Williamson,Male,0.2,0.1,0.1,2,1,1
2014,Sawmill Canyon,Female,0.39,0.34,0.2,17,9,15
2014,Sawmill Canyon,Male,1,0.81,0.44,16,7,13
2014,Convict Creek,Female,0.36,0.36,0.21,5,3,5
2014,Convict Creek,Male,0.25,0.25,0,1,0,1
2014,Mt. Warren,Female,0.36,0.27,0.18,4,2,3
2014,Mt. Warren,Male,0.6,0.6,0.4,6,4,6
2014,Bubbs Creek,Female,0.5,0.36,0.14,7,2,5
2014,Bubbs Creek,Male,0.8,0.8,0.4,4,2,4
2014,Mt. Langley,Female,0.24,0.14,0.08,15,5,9
2014,Mt. Langley,Male,0.09,0.06,0,6,0,4
2014,Big Arroyo,Female,1,0.89,1,9,9,8
2014,Big Arroyo,Male,0.75,0.75,0.5,3,2,3
2014,Olancha Peak,Female,0.75,0.75,0.75,12,12,12
2014,Olancha Peak,Male,1,1,0.5,4,2,4
2014,Laurel Creek,Female,,,,7,7,7
2014,Laurel Creek,Male,,,,4,4,4
2014,Cathedral,Female,,,,10,10,10
2014,Cathedral,Male,,,,2,2,2
2014,Taboose Creek,Female,,,,0,0,0
2014,Taboose Creek,Male,,,,3,2,3
2013,Mt. Gibbs,Female,0.58,0.33,0.25,7,3,4
2013,Mt. Gibbs,Male,0.5,0.5,0.12,4,1,4
2013,Mt. Warren,Female,0.27,0.18,0.09,3,1,2
2013,Mt. Warren,Male,0.5,0.5,0.25,4,2,4
2013,Mt. Baxter,Female,0.33,0.24,0.15,15,7,11
2013,Mt. Baxter,Male,0.08,0.05,0.02,3,1,2
2013,Wheeler Ridge,Female,0.38,0.24,0.16,17,7,11
2013,Wheeler Ridge,Male,0.44,0.28,0.12,11,3,7
2013,Mt. Williamson,Female,0.7,0.7,0.2,7,2,7
2013,Mt. Williamson,Male,0.75,0.75,0.25,3,1,3
2013,Sawmill Canyon,Female,0.48,0.39,0.27,16,9,13
2013,Sawmill Canyon,Male,0.6,0.4,0.2,6,2,4
2013,Convict Creek,Female,0.23,0.23,0.15,3,2,3
2013,Convict Creek,Male,0,0,0,0,0,0
2013,Bubbs Creek,Female,0.5,0.5,0.21,7,3,7
2013,Bubbs Creek,Male,0.6,0.6,0.2,3,1,3
2013,Mt. Langley,Female,0.24,0.14,0.1,14,6,8
2013,Mt. Langley,Male,0.16,0.16,0.05,7,2,7
2013,Big Arroyo,Female,,,,9,9,9
2013,Big Arroyo,Male,,,,4,3,4
2013,Olancha Peak,Female,,,,14,14,14
2013,Olancha Peak,Male,,,,3,3,3
2012,Wheeler Ridge,Female,0.41,0.25,0.2,18,9,11
2012,Wheeler Ridge,Male,0.33,0.22,0.11,12,4,8
2012,Mt. Langley,Female,0.36,0.32,0.15,17,7,15
2012,Mt. Langley,Male,0.17,0.17,0.14,6,5,6
2012,Mt. Warren,Female,0.27,0.13,0.07,4,1,2
2012,Mt. Warren,Male,0.4,0.4,0.2,4,2,4
2012,Mt. Baxter,Female,0.44,0.32,0.26,15,9,11
2012,Mt. Baxter,Male,0.07,0.07,0.02,3,1,3
2012,Mt. Gibbs,Female,1,0.62,0.38,8,3,5
2012,Mt. Gibbs,Male,0.36,0.36,0.09,4,1,4
2012,Mt. Williamson,Female,0.6,0.6,0.3,6,3,6
2012,Mt. Williamson,Male,0.75,0.75,0.25,3,1,3
2012,Sawmill Canyon,Female,0.75,0.62,0.46,18,11,15
2012,Sawmill Canyon,Male,1.43,1,1,10,7,7
2012,Convict Creek,Female,0.6,0.6,0.4,3,2,3
2012,Convict Creek,Male,0,0,0,0,0,0
2012,Bubbs Creek,Female,0.67,0.67,0.22,6,2,6
2012,Bubbs Creek,Male,0.38,0.38,0.38,3,3,3
2012,Olancha Peak,Female,,,,10,10,10
2012,Olancha Peak,Male,,,,4,4,4
2011,Wheeler Ridge,Female,0.29,0.14,0.03,10,1,5
2011,Wheeler Ridge,Male,0.25,0.14,0.03,9,1,5
2011,Sawmill Canyon,Female,0.2,0.2,0.11,9,5,9
2011,Sawmill Canyon,Male,0.64,0.64,0.45,7,5,7
2011,Mt. Langley,Female,0.3,0.3,0.13,16,7,16
2011,Mt. Langley,Male,0.16,0.16,0.16,7,7,7
2011,Mt. Warren,Female,0.5,0.43,0.21,7,3,6
2011,Mt. Warren,Male,0.56,0.56,0.33,5,3,5
2011,Mt. Baxter,Female,0.32,0.26,0.05,12,2,10
2011,Mt. Baxter,Male,0.1,0.1,0.07,3,2,3
2011,Mt. Gibbs,Female,0.71,0.57,0.14,5,1,4
2011,Mt. Gibbs,Male,6,5,4,6,4,5
2011,Mt. Williamson,Female,0.4,0.4,0.3,4,3,4
2011,Mt. Williamson,Male,0.5,0.5,0.25,2,1,2
2011,Bubbs Creek,Female,0.44,0.44,0.22,4,2,4
2011,Bubbs Creek,Male,0.25,0.25,0.25,3,3,3
2010,Wheeler Ridge,Female,0.41,0.26,0.12,14,4,9
2010,Wheeler Ridge,Male,0.3,0.24,0.12,10,4,8
2010,Mt. Warren,Female,0.62,0.43,0.24,13,5,9
2010,Mt. Warren,Male,0.62,0.62,0.5,5,4,5
2010,Sawmill Canyon,Female,0.18,0.15,0.13,7,5,6
2010,Sawmill Canyon,Male,0.07,0.07,0,1,0,1
2010,Mt. Langley,Female,0.33,0.33,0.21,14,9,14
2010,Mt. Langley,Male,0.05,0.05,0.05,2,2,2
2010,Mt. Baxter,Female,0.28,0.28,0.14,10,5,10
2010,Mt. Baxter,Male,0.03,0.03,0,1,0,1
2010,Mt. Gibbs,Female,0.71,0.57,0.14,5,1,4
2010,Mt. Gibbs,Male,0.83,0.67,0.83,5,5,4
2010,Mt. Williamson,Female,0.5,0.5,0.2,5,2,5
2010,Mt. Williamson,Male,0.5,0.5,0.25,2,1,2
2010,Bubbs Creek,Female,0.22,0.22,0.22,2,2,2
2010,Bubbs Creek,Male,0,0,0,0,0,0
